id,x,y,size,frame,track,ignore,track_fixed
5,564.0045269352648,275.64056133997286,2209,57,2,FALSE,5
4,582.6543723973825,344.78941106484234,1681,58,1,TRUE,1
5,571.303073286052,279.7205673758865,2115,58,2,FALSE,5
4,588.9522012578616,352.0622641509434,1590,59,1,TRUE,1
5,578.9607379375591,284.6475875118259,2114,59,2,FALSE,5
4,593.0106918238994,358.88301886792453,1590,60,1,TRUE,1
5,587.7410207939508,288.9305293005671,2116,60,2,FALSE,5
4,595.28,362.85125,1600,61,1,TRUE,1
5,598.5283720930232,292.7046511627907,2150,61,2,FALSE,5
4,599.3679361179361,365.72542997542996,1628,62,1,TRUE,1
5,611.4511278195489,294.093984962406,2128,62,2,FALSE,5
4,602.5103578154426,368.6993094789705,1593,63,1,TRUE,1
5,623.9222065063649,292.2347949080622,2121,63,2,FALSE,5
4,605.1472727272727,370.9533333333333,1650,64,1,TRUE,1
5,635.3031148303115,287.25894932589495,2151,64,2,FALSE,5
4,608.154128440367,372.943119266055,1635,65,1,TRUE,1
5,644.5383536014967,279.1033676333021,2138,65,2,FALSE,5
4,612.3948655256723,374.90220048899755,1636,66,1,TRUE,1
5,650.4799253034547,268.38702147525674,2142,66,2,FALSE,5
4,616.5168195718654,377.5969418960245,1635,67,1,TRUE,1
5,652.198347107438,257.35996326905416,2178,67,2,FALSE,5
3,619.9751815980629,381.1107748184019,1652,68,1,TRUE,1
5,650.844557195572,245.1259225092251,2168,68,2,FALSE,5
3,623.4314789687924,385.2822252374491,1474,69,1,TRUE,1
5,645.8452380952381,231.77326839826839,1848,69,2,FALSE,5
3,625.9420731707318,388.8969512195122,1640,70,1,TRUE,1
5,637.4773046326626,223.8029948525971,2137,70,2,FALSE,5
3,628.7563546187229,390.8698078115313,1613,71,1,TRUE,1
5,627.24893314367,217.22332859174963,2109,71,2,FALSE,5
3,631.6283783783783,395.07555282555285,1628,72,1,TRUE,1
5,614.8297474275023,213.69831618334894,2138,72,2,FALSE,5
3,634.5668948350965,399.33540759178595,1607,73,1,TRUE,1
5,601.8330955777461,213.48834997622444,2103,73,2,FALSE,5
3,637.453316953317,403.019656019656,1628,74,1,TRUE,1
5,587.9306276545541,217.41906559697972,2119,74,2,FALSE,5
3,640.0142063001853,406.63743051266215,1619,75,1,TRUE,1
5,577.1745350500715,224.37434430138293,2097,75,2,FALSE,5
3,642.4247345409119,412.2973141786384,1601,76,1,TRUE,1
5,570.1964032181733,234.5177472787506,2113,76,2,FALSE,5
3,644.958435207824,417.32701711491444,1636,77,1,TRUE,1
5,567.9400855920114,246.7318116975749,2103,77,2,FALSE,5
3,647.0616903146206,421.53855644663787,1621,78,1,TRUE,1
5,571.5074836295603,258.6870907390084,2138,78,2,FALSE,5
2,649.8335388409371,426.1405672009864,1622,79,1,TRUE,1
5,578.8134642356241,268.2253389434315,2139,79,2,FALSE,5
2,651.5812385039853,430.51072961373393,1631,80,1,TRUE,1
5,590.8997658079626,274.3274004683841,2135,80,2,FALSE,5
2,653.3220024721879,434.26885043263286,1618,81,1,TRUE,1
5,603.6175373134329,274.5391791044776,2144,81,2,FALSE,5
2,655.6555621653778,438.192742415229,1681,82,1,TRUE,1
5,615.3786679087099,270.2673497904052,2147,82,2,FALSE,5
2,657.4779411764706,442.51164215686276,1632,83,1,TRUE,1
5,623.3931297709923,262.61164122137404,2096,83,2,FALSE,5
2,658.7777777777778,447.3351749539595,1629,84,1,TRUE,1
5,628.4138744690891,252.42803209060878,2119,84,2,FALSE,5
2,660.073275862069,451.3146551724138,1624,85,1,TRUE,1
5,633.3110070257611,240.97470725995316,2135,85,2,FALSE,5
2,661.7032218091698,456.25092936802974,1614,86,1,TRUE,1
5,635.8750589344648,229.0834512022631,2121,86,2,FALSE,5
2,663.6585365853658,459.6323170731707,1640,87,1,TRUE,1
5,634.6195804195804,216.29277389277388,2145,87,2,FALSE,5
2,665.4311377245509,463.56467065868264,1670,88,1,TRUE,1
5,631.1176742039686,205.63267189663128,2167,88,2,FALSE,5
2,666.9027190332326,468.01027190332326,1655,89,1,TRUE,1
5,625.0574988021083,196.5682798275036,2087,89,2,FALSE,5
1,668.4068002428659,472.8014571948998,1647,90,1,TRUE,1
5,615.1323315559864,189.3567619970916,2063,90,2,FALSE,5
1,669.2957831325301,477.68614457831325,1660,91,1,TRUE,1
